basin,L__NSE,L__KGE,L__logNSE,G__NSE,G__KGE,G__logNSE,G+T__NSE,G+T__KGE,G+T__logNSE,G+M__NSE,G+M__KGE,G+M__logNSE,G+T+M__NSE,G+T+M__KGE,G+T+M__logNSE
01047000,0.8144495573291987,0.7169996632230086,0.857685263994755,0.7192445707562732,0.6248609219593823,0.6944434365147621,0.7335212644482644,0.6635189887448086,0.7217237094059539,0.7607595918179273,0.6543724316463716,0.7235805100844496,0.7744340543615356,0.6983470696817572,0.7312380878111377
02074500,0.42264521327182275,0.42812239077616937,0.4734734719676834,0.3362182290652525,0.454181990108179,,0.35460480241850595,0.4677864348007221,,0.29824452013630354,0.4580349307877995,,0.29499773430639203,0.4616757697329079,
01054200,0.6063690185283604,0.6854574120111301,0.7745678605628946,0.5341992354631241,0.5097756327996438,0.5979420259393344,0.5571929850633467,0.521145398390414,0.5962355539653298,0.5412468426248598,0.5462745549395598,0.5394036858881704,0.5711181627753646,0.5735381721321394,0.5824991802573691
02177000,0.49919020585568935,0.6112728389083036,0.5632847904721872,0.4642312092537259,0.33465484228957426,0.2956906742908669,0.46590409617002243,0.3463928635748475,0.3228917729889654,0.5252988174225862,0.24171669103243007,0.2081161146788559,0.5495381554159364,0.34352662325808375,0.296258601265577
03500240,0.5029796148973867,0.6636733398231016,0.5140463272654597,0.5029037350967749,-0.8983249554245871,0.36026943048231924,0.49526923858178273,-1.084714291919169,0.3585580829925508,0.45649678567835067,-1.0047900775894345,0.29613636366755264,0.4528396216569393,-1.2943740593707043,0.26718385631020547
04233000,0.6643972786331697,0.6595011421762724,0.7539751467390507,0.6029992620485615,0.18599683757500443,,0.6209627035510809,0.22024088741725248,,0.622441621318872,0.1942064615431772,,0.5868985908924257,0.18032455176862316,
03237280,0.5192088267189515,0.5255857922258547,0.6264854475256015,0.5145411518955131,0.22763535037764282,,0.5252166006843186,0.28069449243004413,,0.493759769761662,0.23862084436917144,,0.49183365524471273,0.28789347939578014,
01548500,0.8056035715548931,0.8355417323923774,0.7843676613325482,0.7072812503111304,0.36292564777436814,,0.7165575373973544,0.18832430390569918,,0.7147213904466131,0.5789687586206286,,0.7109940941077767,0.6167056224019315,
02125000,0.6582812570341395,0.3206950599689487,-0.11251959885489544,0.4790172272763776,0.45829980051608415,,0.48173594213566034,0.4578789653695958,,0.44136970791729463,0.4755092716199536,,0.4531943121952633,0.5014154382946372,
03479000,0.5095494505612883,0.6794144887808694,0.5353366921478773,0.5440850034413446,-0.14241829756729404,,0.5362335082974836,-0.24837482472809447,,0.5116278554272115,-0.15918826851111859,,0.5197644227963708,-0.11615066485150123,
